Key	文本内容1
key	text
String	String
text_nil	None
text_rollNoticeHtmStr_1	<font color="#ffffffff" size="20">Congrats to </font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> for recruiting </font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20"> in Tavern, your power has greatly increased!</font>
text_rollNoticeHtmStr_2	<font color="#ffffffff" size="20">Congrats to </font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> for crafting </font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">, your power has greatly increased!</font>
text_rollNoticeHtmStr_3	<font color="#ffffffff" size="20">Congrats to </font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> for defeating </font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20"> and becoming king!</font>
text_rollNoticeHtmStr_4	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> defeated </font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20"> and is now the </font><font color="#ff3300ff" size="20">Arena Overlord</font><font color="#ffffffff" size="20">. Your name will live on forever!</font>
text_rollNoticeHtmStr_5	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> defeated </font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20"> and is now No.</font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20"> in Arena, making a name for yourself!</font>
text_rollNoticeHtmStr_6	<font color="#ffffffff" size="20">Congrats to </font><font color="#ff3300ff" size="20"><s1></font><font color="#ffffffff" size="20"> server </font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20"> for winning the Battle of Kings. None can stand in your way!</font>
text_rollNoticeHtmStr_7	<font color="#ffffffff" size="20">Congrats to </font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20"> for exchanging rum for the 5-star hero </font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">.</font>
