编号	编号1	条件	奖励1	奖励2
confId	id	level	awards1	awards2
Int	Int2	Int	Award	Award
1	1	0	limitmat.201.2.2:120	user.sky_book:300
1	2	1	limitmat.202.2.2:270	user.sky_book:300
1	3	2	limitmat.203.2.2:300	user.sky_book:500
2	1	0	limitmat.201.2.2:120	user.sky_book:300
2	2	1	limitmat.202.2.2:270	user.sky_book:300
2	3	2	limitmat.203.2.2:300	user.sky_book:500
2	4	3	limitmat.204.2.2:450	user.sky_book:500
3	1	0	limitmat.201.2.2:120	user.sky_book:300
3	2	1	limitmat.202.2.2:270	user.sky_book:300
3	3	2	limitmat.203.2.2:300	user.sky_book:500
3	4	3	limitmat.204.2.2:450	user.sky_book:500
3	5	4	limitmat.205.2.2:630	user.sky_book:700
4	1	0	limitmat.201.2.2:120	user.sky_book:300
4	2	1	limitmat.202.2.2:270	user.sky_book:300
4	3	2	limitmat.203.2.2:300	user.sky_book:500
4	4	3	limitmat.204.2.2:450	user.sky_book:500
4	5	4	limitmat.205.2.2:630	user.sky_book:700
4	6	5	limitmat.206.2.2:840	user.sky_book:700
5	1	0	limitmat.201.2.2:120	user.sky_book:300
5	2	1	limitmat.202.2.2:270	user.sky_book:300
5	3	2	limitmat.203.2.2:300	user.sky_book:500
5	4	3	limitmat.204.2.2:450	user.sky_book:500
5	5	4	limitmat.205.2.2:630	user.sky_book:700
5	6	5	limitmat.206.2.2:840	user.sky_book:700
5	7	6	limitmat.207.2.2:1200	user.sky_book:900
6	1	0	limitmat.201.2.2:120	user.sky_book:300
6	2	1	limitmat.202.2.2:270	user.sky_book:300
6	3	2	limitmat.203.2.2:300	user.sky_book:500
6	4	3	limitmat.204.2.2:450	user.sky_book:500
6	5	4	limitmat.205.2.2:630	user.sky_book:700
6	6	5	limitmat.206.2.2:840	user.sky_book:700
6	7	6	limitmat.207.2.2:1200	user.sky_book:900
6	8	7	limitmat.208.2.2:2160	user.sky_book:1100
7	1	0	limitmat.201.2.2:120	user.sky_book:300
7	2	1	limitmat.202.2.2:270	user.sky_book:300
7	3	2	limitmat.203.2.2:300	user.sky_book:500
7	4	3	limitmat.204.2.2:450	user.sky_book:500
7	5	4	limitmat.205.2.2:630	user.sky_book:700
7	6	5	limitmat.206.2.2:840	user.sky_book:700
7	7	6	limitmat.207.2.2:1200	user.sky_book:900
7	8	7	limitmat.208.2.2:2160	user.sky_book:1100
7	9	8	limitmat.209.2.2:4500	user.sky_book:1300
8	1	0	limitmat.201.2.2:120	user.sky_book:300
8	2	1	limitmat.202.2.2:270	user.sky_book:300
8	3	2	limitmat.203.2.2:300	user.sky_book:500
8	4	3	limitmat.204.2.2:450	user.sky_book:500
8	5	4	limitmat.205.2.2:630	user.sky_book:700
8	6	5	limitmat.206.2.2:840	user.sky_book:700
8	7	6	limitmat.207.2.2:1200	user.sky_book:900
8	8	7	limitmat.208.2.2:2160	user.sky_book:1100
8	9	8	limitmat.209.2.2:4500	user.sky_book:1300
8	10	9	0	user.sky_book:1500
