巨龙ID	对应技能ID	需要能量数	解救需求通关关卡类型	解救需求通关关卡	获得条件描述	巨龙名称	巨龙简化名称	资源路径	缩放系数	巨龙基础攻击	巨龙基础物防	巨龙基础法防	巨龙基础生命	描述	天赋解锁需求等阶	恐龙相对目标的坐标偏移x	恐龙相对目标的坐标偏移y	拖拽技能时跳转暂停的帧	技能范围类型	范围资源缩放	范围资源缩放1	骨骼资源	特效资源	特效资源2	技能图片	技能龙头图标	无目标点寻敌逻辑	有目标点寻敌逻辑	天赋4加成属性Id	天赋4基础属性	天赋4天命每级加成属性	天赋1名称	天赋1描述	天赋1图标	天赋2名称	天赋2描述	天赋2图标	天赋3名称	天赋3描述	天赋3图标	天赋4名称	天赋4描述	天赋4图标	品质	特效方案	图标
id	skillId	skillPoints	limitType	limitCustom	limitDesc	name	nameSimple	url	scale	attack	defence	mdefence	hp	desc	talentUnlockLimit	offsetX	offsetY	pauseFrame	rangeType	rangeScaleX	rangeScaleY	res	res2	res3	skillImg	icon	searchId	searchId2	talentAttId	talentAttValue	talentAttValueAdd	talentName1	talentDesc1	talentIcon1	talentName2	talentDesc2	talentIcon2	talentName3	talentDesc3	talentIcon3	talentName4	talentDesc4	talentIcon4	quality	showeffect	showicon
Int	Int	Int	Int	Int	String	String	String	String	Int	Int	Int	Int	Int	String	Ints	Int	Int	Int	Int	Int	Int	String	String	String	String	String	Int	Int	Int	Int	Int	String	String	String	String	String	String	String	String	String	String	String	String	Int	Int	String
1	10100	30	1	6		text_dragonName_1	text_dragonNameSimple_1	playerskill_huolong	0.72	120	75	75	1440	text_dragonDesc_1	2|4|6|8	-500	0	55	2	100	50	playerskill_huolong	playerskill_huolong_effect	0	huolong	skill_icon_1.png	7	0	20	250	50	text_dragonTalentName1_1	text_dragonTalentDesc1_1	dragon_talent_1_1.png	text_dragonTalentName2_1	text_dragonTalentDesc2_1	dragon_talent_1_2.png	text_dragonTalentName3_1	text_dragonTalentDesc3_1	dragon_talent_1_3.png	text_dragonTalentName4_1	text_dragonTalentDesc4_1	dragon_talent_1_4.png	7	17	dragon_icon_1.png
2	10200	30	1	18		text_dragonName_2	text_dragonNameSimple_2	playerskill_zulong	1	156	60	45	1080	text_dragonDesc_2	2|4|6|8	-100	0	45	1	90	90	playerskill_zulong	0	0	zulong	skill_icon_2.png	3	0	23	250	50	text_dragonTalentName1_2	text_dragonTalentDesc1_2	dragon_talent_2_1.png	text_dragonTalentName2_2	text_dragonTalentDesc2_2	dragon_talent_2_2.png	text_dragonTalentName3_2	text_dragonTalentDesc3_2	dragon_talent_2_3.png	text_dragonTalentName4_2	text_dragonTalentDesc4_2	dragon_talent_2_4.png	7	17	dragon_icon_2.png
3	10500	30	9999	9999	text_dragonLimit_4	text_dragonName_3	text_dragonNameSimple_3	playerskill_dianlong	0.85	84	90	132	1584	text_dragonDesc_3	2|4|6|8	0	0	20	1	300	300	playerskill_dianlong	playerskill_dianlong_effect	playerskill_dianlongbaobao	dianlong	skill_icon_3.png	6	0	12	250	50	text_dragonTalentName1_3	text_dragonTalentDesc1_3	dragon_talent_3_1.png	text_dragonTalentName2_3	text_dragonTalentDesc2_3	dragon_talent_3_2.png	text_dragonTalentName3_3	text_dragonTalentDesc3_3	dragon_talent_3_3.png	text_dragonTalentName4_3	text_dragonTalentDesc4_3	dragon_talent_3_4.png	7	17	dragon_icon_3.png
4	10300	30	1	75		text_dragonName_4	text_dragonNameSimple_4	playerskill_binglong	1	144	30	37	1620	text_dragonDesc_4	2|4|6|8	-400	0	1	2	100	50	playerskill_binglong	playerskill_binglong_effect	0	binglong	skill_icon_4.png	1	0	11	250	50	text_dragonTalentName1_4	text_dragonTalentDesc1_4	dragon_talent_4_1.png	text_dragonTalentName2_4	text_dragonTalentDesc2_4	dragon_talent_4_2.png	text_dragonTalentName3_4	text_dragonTalentDesc3_4	dragon_talent_4_3.png	text_dragonTalentName4_4	text_dragonTalentDesc4_4	dragon_talent_4_4.png	7	17	dragon_icon_4.png
5	10600	30	9999	9999	text_dragonLimit_3	text_dragonName_5	text_dragonNameSimple_5	playerskill_xunlong	0.9	78	78	86	2160	text_dragonDesc_5	2|4|6|8	0	0	1	1	90	90	playerskill_xunlong	0	0	xunlong	skill_icon_5.png	2	1	22	250	50	text_dragonTalentName1_5	text_dragonTalentDesc1_5	dragon_talent_5_1.png	text_dragonTalentName2_5	text_dragonTalentDesc2_5	dragon_talent_5_2.png	text_dragonTalentName3_5	text_dragonTalentDesc3_5	dragon_talent_5_3.png	text_dragonTalentName4_5	text_dragonTalentDesc4_5	dragon_talent_5_4.png	7	17	dragon_icon_5.png
6	10400	30	2	75		text_dragonName_6	text_dragonNameSimple_6	playerskill_xiannvlong	1	132	56	27	1728	text_dragonDesc_6	2|4|6|8	0	0	20	1	100	100	playerskill_xiannvlong	0	0	xiannvlong	skill_icon_6.png	4	0	7	250	50	text_dragonTalentName1_6	text_dragonTalentDesc1_6	dragon_talent_6_1.png	text_dragonTalentName2_6	text_dragonTalentDesc2_6	dragon_talent_6_2.png	text_dragonTalentName3_6	text_dragonTalentDesc3_6	dragon_talent_6_3.png	text_dragonTalentName4_6	text_dragonTalentDesc4_6	dragon_talent_6_4.png	7	17	dragon_icon_6.png
7	10700	30	9999	9999	text_dragonLimit_1	text_dragonName_7	text_dragonNameSimple_7	playerskill_jinlong	0.85	126	90	81	1152	text_dragonDesc_7	2|4|6|8	0	0	70	1	90	90	playerskill_jinlong	playerskill_jinlong_effect	0	jinlong	skill_icon_7.png	3	0	8	250	50	text_dragonTalentName1_7	text_dragonTalentDesc1_7	dragon_talent_7_1.png	text_dragonTalentName2_7	text_dragonTalentDesc2_7	dragon_talent_7_2.png	text_dragonTalentName3_7	text_dragonTalentDesc3_7	dragon_talent_7_3.png	text_dragonTalentName4_7	text_dragonTalentDesc4_7	dragon_talent_7_4.png	7	17	dragon_icon_7.png
8	10800	30	3	75		text_dragonName_8	text_dragonNameSimple_8	playerskill_shuangtoulong	0.85	72	80	108	2088	text_dragonDesc_8	2|4|6|8	-300	0	95	1	90	75	playerskill_shuangtoulong	playerskill_shuangtoulong_effect	0	shuangtoulong	skill_icon_8.png	5	0	21	250	50	text_dragonTalentName1_8	text_dragonTalentDesc1_8	dragon_talent_8_1.png	text_dragonTalentName2_8	text_dragonTalentDesc2_8	dragon_talent_8_2.png	text_dragonTalentName3_8	text_dragonTalentDesc3_8	dragon_talent_8_3.png	text_dragonTalentName4_8	text_dragonTalentDesc4_8	dragon_talent_8_4.png	7	17	dragon_icon_8.png
