头像ID	vip条件	品质	图片路径
id	vip_condition	quality	icon
Int	Int	Int	String
1	0	1	uires/icon/hero/nan1.png
2	0	1	uires/icon/hero/falao.png
3	0	1	uires/icon/hero/guangmingshengnv.png
4	0	1	uires/icon/hero/guguaiwushi.png
5	0	1	uires/icon/hero/haidaotufu.png
6	0	1	uires/icon/hero/heianshengnv.png
7	0	1	uires/icon/hero/huangjiayuchu.png
8	0	1	uires/icon/hero/huopaodashi.png
9	0	1	uires/icon/hero/jinglingyouxia.png
10	0	1	uires/icon/hero/lvyijianshi.png
11	2	1	uires/icon/hero/meidusha.png
12	2	1	uires/icon/hero/mofaqishi.png
13	4	1	uires/icon/hero/najianvwang.png
14	4	1	uires/icon/hero/nan1.png
15	6	1	uires/icon/hero/nan2.png
16	6	1	uires/icon/hero/nan3.png
17	8	1	uires/icon/hero/nan4.png
18	8	1	uires/icon/hero/nan5.png
19	10	1	uires/icon/hero/senyuguowang.png
20	10	1	uires/icon/hero/senyumonv.png
21	12	1	uires/icon/hero/shengguangqishi.png
22	12	1	uires/icon/hero/shengqishi.png
23	14	1	uires/icon/hero/xiaoluoli.png
24	14	1	uires/icon/hero/yanhou.png
25	15	1	uires/icon/hero/yezhuqishi.png
26	15	1	uires/icon/hero/zhengyizhizi.png
