关键字	变量值3	说明
key	value	desc
String	String	Ignore
passkey	7|33|3|15	前端用key
currencySymbol	$	对应版本的货币符号
initMail	material.101201:1,user.bindcash:50,user.gold:10000	初始新手邮件
initGold	1000	初始金币
initFood	0	初始粮食
initHero	10000	初始领主
initHero2	3002	初始小萝莉
initEquip1	equip.10201.0:1,equip.20201.0:1,equip.30201.0:1,equip.40201.0:1,equip.50201.0:1,equip.60201.0:1	初始主公装备
initEquip2	equip.10201.0:1	初始小萝莉装备（代码已屏蔽）
useBoxLimit	200	单次开箱子上限
skipPVPBattleVip	4	PVP跳过战斗需求VIP等级
skipPVPBattleLevel	40	PVP跳过战斗需求君主等级
equipBagNumLimit	200	装备背包数量限制
runeBagNumLimit	200	符文背包数量限制
heroNumBuyAdd	5	每次购买英雄背包上限增加值
heroNumBuyLimit	20	英雄背包购买次数上限
resignVipRequire	0	七日签到补签VIP等级要求
resignCashCost	user.mixcash:-30	七日签到补签消耗
customHintLimit	20	在君主≤配置等级之前都会显示该限制
resetHour	5	每日重置时间点
foodInterval	6	粮草回复的间隔分钟数
foodMax	180	粮草回复的上限
foodRedInitial	180	噩梦关卡开启时的初始红色体力
foodRed	16	红色体力回复的间隔分钟数
foodRedMax	180	红色体力回复上限
chatLevelLimit	10	聊天等级限制
renameCashCost	user.mixcash:-500	玩家改名消耗
partMaxAwakeLimit	0	部位极限觉醒开放需求普通觉醒星级限制
partEmbedLimit1	2	部位镶嵌槽位1开启需求普通觉醒星级限制(0为默认开启)
partEmbedLimit2	4	部位镶嵌槽位2开启需求普通觉醒星级限制(0为默认开启)
partEmbedLimit3	6	部位镶嵌槽位3开启需求普通觉醒星级限制(0为默认开启)
partEmbedLimit4	8	部位镶嵌槽位4开启需求普通觉醒星级限制(0为默认开启)
arenaMaxCount	5	竞技场每天免费挑战次数
arenaBalanceTime	21	竞技场每日结算时间小时
arenaReportCount	10	竞技场最大战报数
arenaRefreshCd	5	竞技场对手刷新冷却时间（单位：秒）
towerPromptCompleteVip	6	爬塔立刻完成所需VIP等级
tavernNormalFreeTimes	3	酒馆普通招募每日免费次数
tavernNormalFreeInterval	15	酒馆普通招募免费招募间隔（单位：分）
tavernAdvancedFreeInterval	24	酒馆高级招募免费招募间隔（单位：时）
tavernAdvancedCost	user.love:-50	酒馆高级招募单次召唤消耗爱心
tavernExchangeRefreshInterval	12	酒馆限时兑换刷新时间间隔（单位：时）
tavernExchangeSpecialList	1|1|2|1|1	酒馆限时兑换首轮特殊处理序列（序列配置为类型ID）
tavernRefreshCost	user.mixcash:-20	酒馆限时兑换刷新消耗
customCaveBoxNeedChipNum	4	关卡-山洞-超级宝箱需求碎片数量
customCaveDiceInitNum	12	关卡-山洞-骰子初始数量
customCaveDiceNumLimit	50	关卡-山洞-骰子存储上限
customCaveDiceInterval	60	关卡-山洞-骰子回复间隔（单位：分）
customCaveGoldAward	0	关卡-山洞-金币堆额外获得几率（单位：万分比）
skyGasCostId	400	人皇精气石物品ID
skyBloodCostId	401	人皇精血石物品ID
heroQualityCostItem	2	武将升品消耗的道具ID
stepItemId	300003	步步惊喜物品id
friendApplyNumLimit	20	申请好友人数限制
friendNumLimit	40	好友人数限制
friendDailyGiftGetLimit	10	单人接受礼物数
friendOverTime	72	离线消息保存小时
friendRecommendCount	10	好友推荐人数
friendMessageMax	10000	离线消息最大数
friendGift	material.110002:1	礼物物品
teamRecruitLimit	10	战队招募每日限制次数
legionRecruitLimit	10	军团招募每日限制次数
teamCreatCost	user.mixcash:-100	战队建立消耗
teamNameChageCost	user.mixcash:-500	战队改名消耗
teamJoinTimeLimit	1	战队加入时间间隔（单位：小时）
teamCaptainImpeachLimit	24	战队队长离线弹劾发起条件（单位：小时）
teamCaptainImpeachTime	12	战队队长离线弹劾时长（单位：小时）
teamEventNumLimit	50	战队事件最大条数
teamApplyMax	30	战队申请人数上限
teamApplyLimit	3	战队同时申请上限
teamRefreshLimit	10	加入战队时，单次刷新出的战队上限
teamAutoBreakTime	7	战队自动解散时间（单位：天）
teamTaskTimeLimit	5	战队每日玩家可完成任务次数
teamTaskAwardLimit	4	战队每日玩家可领取任务宝箱次数
teamTaskCompleteLimit	99	战队单个任务的累计上限
teamTaskRefreshCost	user.mixcash:-20	战队任务全部刷新钻石消耗
teamTaskResetCost	user.mixcash:-50	战队任务移除CD钻石消耗
teamTaskRefreshTime	600	战队任务CD所需时间（单位：秒）
legionDfOpenLevel	1	军团领地开启需求的军团等级
legionBossOpenLimit	1	军团BOSS开启需求军团等级
legionCreatCost	user.mixcash:-200	军团建立消耗
legionNameChageCost	user.mixcash:-500	军团改名消耗
legionJoinTimeLimit	4	军团"加入/创建"时间间隔（单位：小时）
legionLeaveTimeLimit	24	军团"退出"时间间隔（单位：小时）（不包括解散行为）
legionCaptainImpeachLimit	24	军团长离线弹劾发起条件（单位：小时）
legionCaptainImpeachTime	12	军团长离线弹劾时长（单位：小时）
legionApplyMax	30	军团申请人数上限
legionApplyLimit	3	军团同时申请上限
