路点ID	坐标	周围路径点	是否怪点	boss点
pathId	pos	around	isMonster	isBoss
Int	Ints	Ints	Int	Int
1	1239|496	2	0	0
2	1187|467	1|3	0	0
3	1143|445	2|4	0	0
4	1091|438	3|5	0	0
5	1044|474	6|8	0	0
6	1044|527	5|7|8|20	0	0
7	1040|612	6|8|12|16|19|20	1	0
8	823|658	5|6|7|9|10|11|19	1	0
9	666|763	8|10|11	1	0
10	684|883	8|9|11	1	0
11	816|795	8|9|10|12|13|17	1	0
12	1007|836	7|11|13|14|16|19	1	0
13	1084|920	11|12|14|16	1	0
14	1258|829	12|13|16|17|18	1	0
15	1238|685	16|18|20	1	0
16	1109|759	7|12|13|14|15|17|19|20	1	0
17	968|809	11|14|16	0	1
18	1305|755	14|15	0	1
19	1007|678	7|8|12|16|20	0	0
20	1118|678	6|7|15|16|19	0	1
21	750|759	8|9	0	1
22	930|604	6|8	0	1
23	1139|865	12|13|14	0	1
24	652|818	9|10|21	0	1
