组ID	序号	需求开服天数Min	需求开服天数Max	是否大奖	奖励	抽中刷新	每轮库存	抽取需求能量	抽取消耗能量	刷出权重	抽取权重
groupId	num	dayLimitMin	dayLimitMax	isBig	award	isRefresh	store	limitPower	costPower	refreshWeight	awardWeight
Int	Int2	Int	Int	Int	Award	Int	Int	Int	Int	Int	Int
1	1	1	999	0	user.rotate_score:50	0	0	25	25	200	800
2	1	1	16	1	equip.10401.0:1	1	0	500	500	100	50
2	2	1	16	1	equip.20401.0:1	1	0	500	500	100	50
2	3	1	16	1	equip.30401.0:1	1	0	500	500	100	50
2	4	1	16	1	equip.40401.0:1	1	0	500	500	100	50
2	5	1	16	1	equip.50401.0:1	1	0	500	500	100	50
2	6	1	16	1	equip.60401.0:1	1	0	500	500	100	50
2	7	16	999	1	equip.10501.0:1	1	0	2000	2000	100	0
2	8	16	999	1	equip.20501.0:1	1	0	2000	2000	100	0
2	9	16	999	1	equip.30501.0:1	1	0	2000	2000	100	0
2	10	16	999	1	equip.40501.0:1	1	0	2000	2000	100	0
2	11	16	999	1	equip.50501.0:1	1	0	2000	2000	100	0
2	12	16	999	1	equip.60501.0:1	1	0	2000	2000	100	0
3	1	1	999	0	user.rotate_score:100	0	0	50	50	150	250
4	1	1	999	0	fragment.1001:20	1	0	10	10	500	800
4	2	1	999	0	fragment.1002:20	1	0	10	10	500	800
4	3	1	999	0	fragment.2001:20	1	0	20	20	250	800
4	4	1	999	0	fragment.2002:20	1	0	20	20	250	800
4	5	1	999	0	fragment.3001:20	1	0	50	50	100	800
4	6	1	999	0	fragment.3002:20	1	0	50	50	100	800
5	1	1	16	0	equip.10301.0:1	1	0	100	100	100	250
5	2	1	16	0	equip.20301.0:1	1	0	100	100	100	250
5	3	1	16	0	equip.30301.0:1	1	0	100	100	100	250
5	4	1	16	0	equip.40301.0:1	1	0	100	100	100	250
5	5	1	16	0	equip.50301.0:1	1	0	100	100	100	250
5	6	1	16	0	equip.60301.0:1	1	0	100	100	100	250
5	7	16	999	0	equip.10401.0:1	1	0	250	250	100	80
5	8	16	999	0	equip.20401.0:1	1	0	250	250	100	80
5	9	16	999	0	equip.30401.0:1	1	0	250	250	100	80
5	10	16	999	0	equip.40401.0:1	1	0	250	250	100	80
5	11	16	999	0	equip.50401.0:1	1	0	250	250	100	80
5	12	16	999	0	equip.60401.0:1	1	0	250	250	100	80
6	1	1	999	0	user.rotate_score:150	0	0	75	75	175	125
7	1	1	16	0	user.gold:100000	1	0	0	4	100	1200
7	2	1	16	0	user.hero_exp:200000	1	0	0	4	100	1200
7	3	1	16	0	material.1:10	1	0	0	10	100	1200
7	4	16	999	0	user.gold:200000	1	0	0	8	100	1200
7	5	16	999	0	user.hero_exp:400000	1	0	0	8	100	1200
7	6	16	999	0	material.1:20	1	0	0	20	100	1200
8	1	1	999	1	fragment.4003:40	1	0	200	200	200	100
8	2	1	999	1	fragment.4004:40	1	0	200	200	100	100
8	3	1	999	1	fragment.4007:40	1	0	200	200	200	100
8	4	1	999	1	fragment.4008:40	1	0	200	200	100	100
8	5	1	999	1	fragment.4011:40	1	0	200	200	200	100
8	6	1	999	1	fragment.4012:40	1	0	200	200	200	100
8	7	1	999	1	fragment.4013:40	1	0	200	200	100	100
8	8	1	999	1	fragment.4014:40	1	0	200	200	100	100
8	9	1	999	1	fragment.4017:40	1	0	200	200	200	100
8	10	1	999	1	fragment.4018:40	1	0	200	200	100	100
8	11	1	999	1	fragment.4019:40	1	0	200	200	200	100
8	12	1	999	1	fragment.4020:40	1	0	200	200	100	100
11	1	1	999	0	user.rotate_score:500	0	0	250	250	1	800
12	1	1	16	1	equip.10501.0:1	1	0	2000	2000	1	50
12	2	1	16	1	equip.20501.0:1	1	0	2000	2000	1	50
12	3	1	16	1	equip.30501.0:1	1	0	2000	2000	1	50
12	4	1	16	1	equip.40501.0:1	1	0	2000	2000	1	50
12	5	1	16	1	equip.50501.0:1	1	0	2000	2000	1	50
12	6	1	16	1	equip.60501.0:1	1	0	2000	2000	1	50
12	7	16	999	1	equip.10601.0:1	1	0	5000	5000	1	0
12	8	16	999	1	equip.20601.0:1	1	0	5000	5000	1	0
12	9	16	999	1	equip.30601.0:1	1	0	5000	5000	1	0
12	10	16	999	1	equip.40601.0:1	1	0	5000	5000	1	0
12	11	16	999	1	equip.50601.0:1	1	0	5000	5000	1	0
12	12	16	999	1	equip.60601.0:1	1	0	5000	5000	1	0
13	1	1	999	0	user.rotate_score:1000	0	0	500	500	1	250
14	1	1	999	0	fragment.4003:40	1	0	200	200	1	1000
14	2	1	999	0	fragment.4004:40	1	0	200	200	1	1000
14	3	1	999	0	fragment.4007:40	1	0	200	200	1	1000
14	4	1	999	0	fragment.4008:40	1	0	200	200	1	1000
14	5	1	999	0	fragment.4011:40	1	0	200	200	1	1000
14	6	1	999	0	fragment.4012:40	1	0	200	200	1	1000
14	7	1	999	0	fragment.4013:40	1	0	200	200	1	1000
14	8	1	999	0	fragment.4014:40	1	0	200	200	1	1000
14	9	1	999	0	fragment.4017:40	1	0	200	200	1	1000
14	10	1	999	0	fragment.4018:40	1	0	200	200	1	1000
14	11	1	999	0	fragment.4019:40	1	0	200	200	1	1000
14	12	1	999	0	fragment.4020:40	1	0	200	200	1	1000
15	1	1	16	0	equip.10401.0:1	1	0	500	500	1	250
15	2	1	16	0	equip.20401.0:1	1	0	500	500	1	250
15	3	1	16	0	equip.30401.0:1	1	0	500	500	1	250
15	4	1	16	0	equip.40401.0:1	1	0	500	500	1	250
15	5	1	16	0	equip.50401.0:1	1	0	500	500	1	250
15	6	1	16	0	equip.60401.0:1	1	0	500	500	1	250
15	7	16	999	0	equip.10501.0:1	1	0	1000	1000	1	250
15	8	16	999	0	equip.20501.0:1	1	0	1000	1000	1	250
15	9	16	999	0	equip.30501.0:1	1	0	1000	1000	1	250
15	10	16	999	0	equip.40501.0:1	1	0	1000	1000	1	250
15	11	16	999	0	equip.50501.0:1	1	0	1000	1000	1	250
15	12	16	999	0	equip.60501.0:1	1	0	1000	1000	1	250
16	1	1	999	0	user.rotate_score:1500	0	0	750	750	1	125
17	1	1	999	0	user.gold:1000000	1	0	40	40	1	1200
17	2	1	999	0	user.hero_exp:2000000	1	0	40	40	1	1200
17	3	1	999	0	material.1:100	1	0	100	100	1	1200
17	4	1	999	0	user.gold:2000000	1	0	80	80	1	1200
17	5	1	999	0	user.hero_exp:4000000	1	0	80	80	1	1200
17	6	1	999	0	material.1:200	1	0	200	200	1	1200
18	1	1	999	1	fragment.5001:60	1	0	1800	1800	1	100
18	2	1	999	1	fragment.5002:60	1	0	1800	1800	1	100
18	3	1	999	1	fragment.5005:60	1	0	1800	1800	1	100
18	4	1	999	1	fragment.5006:60	1	0	1800	1800	1	100
18	5	1	999	1	fragment.5009:60	1	0	1800	1800	1	100
18	6	1	999	1	fragment.5010:60	1	0	1800	1800	1	100
18	7	1	999	1	fragment.5015:60	1	0	1800	1800	1	100
18	8	1	999	1	fragment.5016:60	1	0	1800	1800	1	100
18	9	22	999	1	fragment.5021:60	1	0	1800	1800	1	100
18	10	22	999	1	fragment.5022:60	1	0	1800	1800	1	100
18	11	15	999	1	fragment.5023:60	1	0	1800	1800	1	100
18	12	15	999	1	fragment.5024:60	1	0	1800	1800	1	100
18	13	8	999	1	fragment.5025:60	1	0	1800	1800	1	100
18	14	8	999	1	fragment.5026:60	1	0	1800	1800	1	100
18	15	1	999	1	fragment.5027:60	1	0	1800	1800	1	100
18	16	1	999	1	fragment.5028:60	1	0	1800	1800	1	100
