编号	排序	需要充值金额	天数	奖励
confId	id	rechargeamount	day	awards
Int	Int2	Int	Int	Award
1	1	2	1	user.bindcash:60
1	2	5	1	material.1:20,user.rotate_ncoin:2
1	3	15	1	material.930:20,user.hero_exp:3000000
1	4	30	1	user.htoken:2,user.hero_exp:5000000
1	5	50	1	material.940:40,material.42:1,user.bindcash:1000
1	6	100	1	material.940:40,user.hero_exp:10000000,user.rotate_hcoin:3
1	7	180	1	fragment.5027:20,user.hero_exp:20000000,user.rotate_hcoin:5
1	8	300	1	fragment.5027:40,user.hero_exp:30000000,user.rotate_hcoin:8
1	9	500	1	fragment.5027:60,user.hero_exp:50000000,user.rotate_hcoin:10
1	10	2	2	user.bindcash:60
1	11	5	2	dragon.101:2,user.rotate_ncoin:2
1	12	15	2	user.htoken:1,user.hero_exp:3000000
1	13	30	2	dragon.101:3,user.hero_exp:5000000
1	14	50	2	material.42:1,material.940:40,user.bindcash:1000
1	15	100	2	dragon.102:3,user.hero_exp:10000000,user.rotate_hcoin:3
1	16	180	2	dragon.103:2,user.hero_exp:20000000,user.rotate_hcoin:5
1	17	300	2	dragon.103:3,user.hero_exp:30000000,user.rotate_hcoin:8
1	18	500	2	dragon.104:2,user.hero_exp:50000000,user.rotate_hcoin:10
1	19	2	3	user.bindcash:60
1	20	5	3	gem.401:4,user.rotate_ncoin:2
1	21	15	3	user.htoken:1,user.hero_exp:3000000
1	22	30	3	gem.402:3,user.hero_exp:5000000
1	23	50	3	material.940:40,material.42:1,user.bindcash:1000
1	24	100	3	gem.403:3,material.41:2000,user.rotate_hcoin:3
1	25	180	3	gem.404:2,material.41:3000,user.rotate_hcoin:5
1	26	300	3	gem.404:3,material.41:4000,user.rotate_hcoin:8
1	27	500	3	gem.405:3,material.41:6000,user.rotate_hcoin:10
1	28	2	4	user.bindcash:60
1	29	5	4	gem.301:4,user.rotate_ncoin:2
1	30	15	4	user.htoken:1,user.hero_exp:3000000
1	31	30	4	gem.302:3,user.hero_exp:5000000
1	32	50	4	material.940:40,material.42:1,user.bindcash:1000
1	33	100	4	gem.303:3,material.41:2000,user.rotate_hcoin:3
1	34	180	4	gem.304:2,material.41:3000,user.rotate_hcoin:5
1	35	300	4	gem.304:3,material.41:4000,user.rotate_hcoin:8
1	36	500	4	gem.305:3,material.41:6000,user.rotate_hcoin:10
1	37	2	5	user.bindcash:60
1	38	5	5	gem.201:4,user.rotate_ncoin:2
1	39	15	5	user.htoken:1,user.hero_exp:3000000
1	40	30	5	gem.202:3,user.hero_exp:5000000
1	41	50	5	material.940:40,material.42:1,user.bindcash:1000
1	42	100	5	gem.203:3,material.41:2000,user.rotate_hcoin:3
1	43	180	5	gem.204:2,material.41:3000,user.rotate_hcoin:5
1	44	300	5	gem.204:3,material.41:4000,user.rotate_hcoin:8
1	45	500	5	gem.205:3,material.41:6000,user.rotate_hcoin:10
1	46	2	6	user.bindcash:60
1	47	5	6	group.2003.0:1,user.rotate_ncoin:2
1	48	15	6	group.2003.0:2,user.hero_exp:3000000
1	49	30	6	group.2003.0:3,user.hero_exp:5000000
1	50	50	6	group.2004.0:1,material.42:1,user.bindcash:1000
1	51	100	6	group.2004.0:1,material.41:2000,user.rotate_hcoin:3
1	52	180	6	group.2005.0:1,material.41:3000,user.rotate_hcoin:5
1	53	300	6	group.2005.0:1,material.41:4000,user.rotate_hcoin:8
1	54	500	6	group.2006.0:1,material.41:6000,user.rotate_hcoin:10
1	55	2	7	user.bindcash:60
1	56	5	7	material.1:20,user.rotate_ncoin:2
1	57	15	7	material.930:20,user.hero_exp:3000000
1	58	30	7	user.htoken:2,user.hero_exp:5000000
1	59	50	7	material.940:40,material.42:1,user.bindcash:1000
1	60	100	7	material.940:40,user.hero_exp:10000000,user.rotate_hcoin:3
1	61	180	7	fragment.5028:20,user.hero_exp:20000000,user.rotate_hcoin:5
1	62	300	7	fragment.5028:40,user.hero_exp:30000000,user.rotate_hcoin:8
1	63	500	7	fragment.5028:60,user.hero_exp:50000000,user.rotate_hcoin:10
2	1	2	1	user.bindcash:60
2	2	5	1	material.1:20,user.rotate_ncoin:3
2	3	15	1	material.930:20,material.100:50
2	4	30	1	user.htoken:2,material.100:100
2	5	50	1	material.940:40,material.400:1,user.bindcash:1000
2	6	100	1	fragment.5025:20,material.100:200,user.rotate_hcoin:3
2	7	180	1	fragment.5025:40,material.100:300,user.rotate_hcoin:5
2	8	300	1	fragment.5025:60,material.100:500,user.rotate_hcoin:8
2	9	500	1	fragment.5025:90,material.100:800,material.401:1
2	10	2	2	user.bindcash:60
2	11	5	2	dragon.101:2,user.rotate_ncoin:3
2	12	15	2	user.htoken:1,user.hero_exp:5000000
2	13	30	2	dragon.101:3,user.hero_exp:8000000
2	14	50	2	material.42:1,material.940:40,user.bindcash:1000
2	15	100	2	dragon.102:3,user.hero_exp:15000000,user.rotate_hcoin:3
2	16	180	2	dragon.103:2,user.hero_exp:30000000,user.rotate_hcoin:5
2	17	300	2	dragon.103:3,user.hero_exp:45000000,user.rotate_hcoin:8
2	18	500	2	dragon.104:2,user.hero_exp:80000000,user.rotate_hcoin:10
2	19	2	3	user.bindcash:60
2	20	5	3	gem.401:4,user.rotate_ncoin:3
