等级	主角ID	最低英雄基础星级	最高英雄基础星级	英雄数	突破等级	军队等级	技能等级	基础怒气	命中率	闪避率	暴击率	抗暴率	伤害加成	伤害减免	暴击伤害	暴击减伤	技能伤害加成	技能伤害减免	无视护甲	无视技防	治疗加成	怒气回复加成	负面抗性
level	mainId	starMin	starMax	heroNun	talentLevel	soldierLevel	skillLevel	baseMp	baseHit	baseDodge	baseCrit	baseResi	dmgIncrease	dmgReduce	critDmgIncrease	critDmgReduce	skillDmgIncrease	skillDmgReduce	ignoreDef	ignoreMag	cureIncrease	recoverMp	repleNegative
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	20000	1	4	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	20000	1	4	3	0	1	1	0.11325112017	0.22599890203	0.22599890203	0.22599890203	0.22599890203	0.22599890203	0.22599890203	0.13841803577	0	0.075500746782	0.17616840916	0.062917288985	0.062917288985	0.062917288985	0.062917288985	0.062917288985
3	20000	1	4	3	0	1	1	0.39436330584	0.78697388588	0.78697388588	0.78697388588	0.78697388588	0.78697388588	0.78697388588	0.48199959603	0	0.26290887056	0.61345403131	0.21909072547	0.21909072547	0.21909072547	0.21909072547	0.21909072547
4	20000	1	4	3	0	1	1	0.8182024297	1.6327684042	1.6327684042	1.6327684042	1.6327684042	1.6327684042	1.6327684042	1.0000251919	0	0.54546828647	1.2727593351	0.45455690539	0.45455690539	0.45455690539	0.45455690539	0.45455690539
5	20000	1	4	3	0	1	1	1.3732527922	2.7404022386	2.7404022386	2.7404022386	2.7404022386	2.7404022386	2.7404022386	1.6784200793	0	0.91550186145	2.13617101	0.76291821787	0.76291821787	0.76291821787	0.76291821787	0.76291821787
6	20000	1	4	3	0	1	1	2.0520527197	4.0949852052	4.0949852052	4.0949852052	4.0949852052	4.0949852052	4.0949852052	2.5080644352	0	1.3680351465	3.1920820085	1.1400292887	1.1400292887	1.1400292887	1.1400292887	1.1400292887
7	20000	1	4	3	0	1	1	2.8491463443	5.6856298159	5.6856298159	5.6856298159	5.6856298159	5.6856298159	5.6856298159	3.4822899763	0	1.8994308962	4.4320054244	1.5828590802	1.5828590802	1.5828590802	1.5828590802	1.5828590802
8	20000	1	4	3	0	1	1	3.7602695542	7.5038267993	7.5038267993	7.5038267993	7.5038267993	7.5038267993	7.5038267993	4.5958850107	0	2.5068463695	5.8493081954	2.0890386412	2.0890386412	2.0890386412	2.0890386412	2.0890386412
