装备类型	神器星级	升级经验	双属性神器升级经验	属性1	值1	类型（1固定值，2百分比）	概率1	属性2	值2	类型（1固定值，2百分比）1	概率2	吞噬消耗
type	level	maxExp	doubleAttExp	att1	value1	valuetype1	prob1	att2	value2	valuetype2	prob2	swallowCost
Int1	Int2	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Award
1	1	1	2	22	2	2	51	13	2	2	51	user.gold:-0
1	2	3	4	22	4	2	51	13	4	2	51	user.gold:-0
1	3	5	6	22	6	2	51	13	6	2	51	user.gold:-0
1	4	9	12	22	8	2	51	13	8	2	51	user.gold:-0
1	5	12	18	22	10	2	51	13	10	2	51	user.gold:-0
1	6	18	26	22	12	2	51	13	12	2	51	user.gold:-0
1	7	26	34	22	14	2	51	13	14	2	51	user.gold:-0
1	8	34	44	22	16	2	51	13	16	2	51	user.gold:-0
1	9	44	56	22	18	2	51	13	18	2	51	user.gold:-0
1	10	56	70	22	20	2	51	13	20	2	51	user.gold:-0
2	1	1	2	14	1	2	51	11	2	2	51	user.gold:-0
2	2	3	4	14	2	2	51	11	4	2	51	user.gold:-0
2	3	5	6	14	3	2	51	11	6	2	51	user.gold:-0
2	4	9	12	14	4	2	51	11	8	2	51	user.gold:-0
2	5	12	18	14	5	2	51	11	10	2	51	user.gold:-0
2	6	18	26	14	6	2	51	11	12	2	51	user.gold:-0
2	7	26	34	14	7	2	51	11	14	2	51	user.gold:-0
2	8	34	44	14	8	2	51	11	16	2	51	user.gold:-0
2	9	44	56	14	9	2	51	11	18	2	51	user.gold:-0
2	10	56	70	14	10	2	51	11	20	2	51	user.gold:-0
3	1	1	2	23	2	2	51	24	2	2	51	user.gold:-0
3	2	3	4	23	4	2	51	24	4	2	51	user.gold:-0
3	3	5	6	23	6	2	51	24	6	2	51	user.gold:-0
3	4	9	12	23	8	2	51	24	8	2	51	user.gold:-0
3	5	12	18	23	10	2	51	24	10	2	51	user.gold:-0
3	6	18	26	23	12	2	51	24	12	2	51	user.gold:-0
3	7	26	34	23	14	2	51	24	14	2	51	user.gold:-0
3	8	34	44	23	16	2	51	24	16	2	51	user.gold:-0
3	9	44	56	23	18	2	51	24	18	2	51	user.gold:-0
3	10	56	70	23	20	2	51	24	20	2	51	user.gold:-0
4	1	1	2	15	3	2	51	12	2	2	51	user.gold:-0
4	2	3	4	15	6	2	51	12	4	2	51	user.gold:-0
4	3	5	6	15	9	2	51	12	6	2	51	user.gold:-0
4	4	9	12	15	12	2	51	12	8	2	51	user.gold:-0
4	5	12	18	15	15	2	51	12	10	2	51	user.gold:-0
4	6	18	26	15	18	2	51	12	12	2	51	user.gold:-0
4	7	26	34	15	21	2	51	12	14	2	51	user.gold:-0
4	8	34	44	15	24	2	51	12	16	2	51	user.gold:-0
4	9	44	56	15	27	2	51	12	18	2	51	user.gold:-0
4	10	56	70	15	30	2	51	12	20	2	51	user.gold:-0
5	1	1	2	20	2	2	51	19	2	2	51	user.gold:-0
5	2	3	4	20	4	2	51	19	4	2	51	user.gold:-0
5	3	5	6	20	6	2	51	19	6	2	51	user.gold:-0
5	4	9	12	20	8	2	51	19	8	2	51	user.gold:-0
5	5	12	18	20	10	2	51	19	10	2	51	user.gold:-0
5	6	18	26	20	12	2	51	19	12	2	51	user.gold:-0
5	7	26	34	20	14	2	51	19	14	2	51	user.gold:-0
5	8	34	44	20	16	2	51	19	16	2	51	user.gold:-0
5	9	44	56	20	18	2	51	19	18	2	51	user.gold:-0
5	10	56	70	20	20	2	51	19	20	2	51	user.gold:-0
6	1	1	2	21	2	2	51	25	2	2	51	user.gold:-0
6	2	3	4	21	4	2	51	25	4	2	51	user.gold:-0
6	3	5	6	21	6	2	51	25	6	2	51	user.gold:-0
6	4	9	12	21	8	2	51	25	8	2	51	user.gold:-0
6	5	12	18	21	10	2	51	25	10	2	51	user.gold:-0
6	6	18	26	21	12	2	51	25	12	2	51	user.gold:-0
6	7	26	34	21	14	2	51	25	14	2	51	user.gold:-0
6	8	34	44	21	16	2	51	25	16	2	51	user.gold:-0
6	9	44	56	21	18	2	51	25	18	2	51	user.gold:-0
6	10	56	70	21	20	2	51	25	20	2	51	user.gold:-0
