事件ID	事件	事件参数	条件名称	条件ICON	前往
id	event	eventPara	name	icon	goto
Int	String	Ints	String	String	String
1	battle	0	text_outlinecondition_name_1	3.png	battle
2	battle	1	text_outlinecondition_name_2	1.png	saveGirl
3	battle	3	text_outlinecondition_name_3	11.png	battle
4	battle	6	text_outlinecondition_name_4	4.png	mapTip:12
5	battle	12	text_outlinecondition_name_5	1.png	saveGirl
6	village	1	text_outlinecondition_name_6	5.png	village:1
7	battle	15	text_outlinecondition_name_7	11.png	battle
8	treasure	1	text_outlinecondition_name_8	7.png	king_treasure
9	battle	18	text_outlinecondition_name_9	8.png	mapTip:13
10	village	2	text_outlinecondition_name_10	6.png	village:2
11	battle	26	text_outlinecondition_name_11	1.png	saveGirl
12	battle	27	text_outlinecondition_name_12	12.png	pharaoh
13	treasure	3	text_outlinecondition_name_13	7.png	king_treasure
14	level	30	text_outlinecondition_name_14	9.png	user.xp:0
15	fight	75000	text_outlinecondition_name_15	13.png	growHelp
16	nextday	1	text_outlinecondition_name_16	10.png	0
17	boss	1|1	text_outlinecondition_name_17	14.png	0
18	fight	150000	text_outlinecondition_name_18	13.png	growHelp
19	dragon	3|1	text_outlinecondition_name_19	20.png	king_dragon
20	level	45	text_outlinecondition_name_20	9.png	user.xp:0
21	boss	2|1	text_outlinecondition_name_21	15.png	0
22	fight	300000	text_outlinecondition_name_22	13.png	growHelp
23	dragon	4|2	text_outlinecondition_name_23	20.png	king_dragon
24	level	65	text_outlinecondition_name_24	9.png	user.xp:0
25	boss	3|3	text_outlinecondition_name_25	16.png	0
26	fight	2500000	text_outlinecondition_name_26	13.png	growHelp
27	dragon	5|3	text_outlinecondition_name_27	20.png	king_dragon
28	level	90	text_outlinecondition_name_28	9.png	user.xp:0
29	boss	4|12	text_outlinecondition_name_29	17.png	0
30	fight	5000000	text_outlinecondition_name_30	13.png	growHelp
31	dragon	6|4	text_outlinecondition_name_31	20.png	king_dragon
32	level	120	text_outlinecondition_name_32	9.png	user.xp:0
33	boss	5|20	text_outlinecondition_name_33	18.png	0
34	fight	10000000	text_outlinecondition_name_34	13.png	growHelp
35	dragon	8|5	text_outlinecondition_name_35	20.png	king_dragon
36	level	180	text_outlinecondition_name_36	9.png	user.xp:0
37	boss	6|30	text_outlinecondition_name_37	19.png	0
38	fight	20000000	text_outlinecondition_name_38	13.png	growHelp
39	dragon	10|6	text_outlinecondition_name_39	20.png	king_dragon
40	level	270	text_outlinecondition_name_40	9.png	user.xp:0
