头像框ID	头像框类型	头像框类型名	头像框名字	未激活是否显示	头像框特效方案	激活条件	激活参数	头像框图片路径	解锁条件描述	时限性描述	目前是否显示	是否显示进度	头像描述
id	type	typeName	name	isPreview	effectMode	condition	value	icon	conditionDesc	timDesc	display	schedule	desc
Int	Int	String	String	Int	Int	String	Int	String	String	String	Int	Int	String
0	1	text_setting_headFrameType1	0	0	1	0	0	uires/icon/hero/big_nan5.png	0	0	0	0	0
1	1	text_setting_headFrameType1	0	0	0	0	0	uires/icon/hero/big_default.png	0	0	0	0	0
10001	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10001	0	1	0	0	uires/icon/hero/big_headicon_1.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
10002	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10002	0	0	0	0	uires/icon/hero/big_headicon_3.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
10003	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10003	0	0	0	0	uires/icon/hero/big_headicon_4.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
10004	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10004	0	0	0	0	uires/icon/hero/big_headicon_5.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
10005	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10005	0	0	0	0	uires/icon/hero/big_headicon_6.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
10006	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10006	0	1	0	0	uires/icon/hero/big_headicon_7.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
10007	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10007	0	0	0	0	uires/icon/hero/big_headicon_8.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
10008	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10008	0	0	0	0	uires/icon/hero/big_headicon_9.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
10009	1	text_setting_headFrameType1	text_settingHeadFrameName_1_10009	0	0	0	0	uires/icon/hero/big_headicon_10.png	text_settingHeadFrameConditionDesc_1_1	text_settingHeadFrameTimDesc_1	1	0	text_setting_headFrameDesc
20001	2	text_setting_headFrameType2	text_settingHeadFrameName_2_20001	1	1	fight_force_rank	1	uires/icon/hero/big_headicon_2.png	text_settingHeadFrameConditionDesc_2_1	text_settingHeadFrameTimDesc_2	1	0	text_setting_headFrameDesc
30002	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	player	2	uires/icon/hero/big_nan1.png	text_settingHeadFrameConditionDesc_3_2	text_settingHeadFrameTimDesc_1	1	0	0
30003	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	player	3	uires/icon/hero/big_nan2.png	text_settingHeadFrameConditionDesc_3_3	text_settingHeadFrameTimDesc_1	1	0	0
30004	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	player	4	uires/icon/hero/big_nan3.png	text_settingHeadFrameConditionDesc_3_4	text_settingHeadFrameTimDesc_1	1	0	0
30005	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	player	5	uires/icon/hero/big_nan4.png	text_settingHeadFrameConditionDesc_3_5	text_settingHeadFrameTimDesc_1	1	0	0
30006	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	player	6	uires/icon/hero/big_nan5.png	text_settingHeadFrameConditionDesc_3_6	text_settingHeadFrameTimDesc_1	1	0	0
30007	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	player	7	uires/icon/hero/big_nan6.png	text_settingHeadFrameConditionDesc_3_7	text_settingHeadFrameTimDesc_1	1	0	0
35001	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5001	uires/icon/hero/big_senyuguowang.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35002	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	5002	uires/icon/hero/big_senyumonv.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
35003	3	text_setting_headFrameType3	text_settingHeadFrameName_3_1	1	0	getHero	4003	uires/icon/hero/big_juchuiairen.png	text_settingHeadFrameConditionDesc_3_1	text_settingHeadFrameTimDesc_1	1	0	0
