村庄ID	村庄名称	神书名称	村庄图片	神书资源	展示ICON	解救需求通关关卡类型	解救需求通关关卡	战斗ID	跳转功能	功能描述	功能图片	村名赠送奖励	神书描述
id	name	bookName	icon	bookIcon	showIcon	limitType	limitCustom	formation	unlock	unlockDesc	unlockIcon	award	desc1
Int	String	Stirng	String	String	String	Int	Int	Int	String	String	String	Award	String
1	text_customVillageName_1	text_customVillageBookName_1	village_2.png	ui_villagebook_1	user/food.png	1	13	1000013	altar.2	text_customVillageUnlockDesc_1	unlockIcon_1.png	user.bindcash:20,user.rob:5,material.1:20,user.gold:15000,user.hero_exp:3000	text_godBookDesc1
2	text_customVillageName_2	text_customVillageBookName_2	village_4.png	ui_villagebook_2	material/levelupstone.png	1	20	1000020	exploremagic.1	text_customVillageUnlockDesc_2	unlockIcon_2.png	user.bindcash:20,user.rob:5,material.1:20,user.gold:15400,user.hero_exp:3900	text_godBookDesc2
3	text_customVillageName_3	text_customVillageBookName_3	village_3.png	ui_villagebook_3	user/gold.png	1	35	1000035	altar.1	text_customVillageUnlockDesc_3	unlockIcon_3.png	user.bindcash:20,user.rob:5,material.1:20,user.gold:16200,user.hero_exp:5900	text_godBookDesc3
4	text_customVillageName_4	text_customVillageBookName_4	village_2.png	ui_villagebook_4	material/destinystone.png	1	59	1000059	exploremagic.2	text_customVillageUnlockDesc_4	unlockIcon_2.png	user.bindcash:20,user.rob:5,material.1:20,user.gold:17700,user.hero_exp:9600	text_godBookDesc4
5	text_customVillageName_5	text_customVillageBookName_5	village_3.png	ui_villagebook_5	material/gem_bag_1.png	1	71	1000071	altar.4	text_customVillageUnlockDesc_5	unlockIcon_5.png	user.bindcash:20,user.rob:5,material.1:20,user.gold:18600,user.hero_exp:11800	text_godBookDesc5
6	text_customVillageName_6	text_customVillageBookName_6	village_2.png	ui_villagebook_6	material/awakestone.png	2	86	1000236	exploremagic.3	text_customVillageUnlockDesc_6	unlockIcon_2.png	user.bindcash:20,user.rob:5,material.1:40,user.gold:31900,user.hero_exp:44800	text_godBookDesc6
7	text_customVillageName_7	text_customVillageBookName_7	village_1.png	ui_villagebook_7	material/destinystone.png	2	116	1000266	altar.3	text_customVillageUnlockDesc_7	unlockIcon_7.png	user.bindcash:20,user.rob:5,material.1:40,user.gold:35000,user.hero_exp:52300	text_godBookDesc7
8	text_customVillageName_8	text_customVillageBookName_8	village_1.png	ui_villagebook_8	material/king_nil.png	2	124	1000274	other	text_customVillageUnlockDesc_8	unlockIcon_2.png	user.bindcash:20,user.rob:5,material.1:40,user.gold:35900,user.hero_exp:54400	text_godBookDesc8
9	text_customVillageName_9	text_customVillageBookName_9	village_1.png	ui_villagebook_9	material/king_nil.png	2	128	1000278	other	text_customVillageUnlockDesc_9	unlockIcon_2.png	user.bindcash:20,user.rob:5,material.1:40,user.gold:36600,user.hero_exp:56300	text_godBookDesc9
10	text_customVillageName_10	text_customVillageBookName_10	village_2.png	ui_villagebook_10	material/king_nil.png	2	137	1000287	other	text_customVillageUnlockDesc_10	unlockIcon_2.png	user.bindcash:20,user.rob:5,material.1:40,user.gold:37500,user.hero_exp:58400	text_godBookDesc10
