关卡ID	战斗ID	挑战限制	限制参数	首通奖励
id	formation	challengeLimit	target	award
Int	Int	String	Int	Award
100100	1100010	level	136	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.10601.0:1
100101	1100011	level	136	user.gold:300000,user.hero_exp:410000,material.1:50
100102	1100012	level	136	user.gold:310000,user.hero_exp:430000,material.1:50
100103	1100013	level	136	user.gold:330000,user.hero_exp:450000,material.1:50
100104	1100014	level	136	user.gold:350000,user.hero_exp:480000,material.1:50
100105	1100015	level	136	user.gold:360000,user.hero_exp:500000,material.1:50
100200	1100020	level	136	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.30601.0:1
100201	1100021	level	136	user.gold:380000,user.hero_exp:520000,material.1:50
100202	1100022	level	136	user.gold:400000,user.hero_exp:550000,material.1:50
100203	1100023	level	136	user.gold:420000,user.hero_exp:570000,material.1:50
100204	1100024	level	136	user.gold:430000,user.hero_exp:590000,material.1:50
100205	1100025	level	136	user.gold:450000,user.hero_exp:620000,material.1:50
100300	1100030	level	136	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.50601.0:1
100301	1100031	level	136	user.gold:470000,user.hero_exp:640000,material.1:50
100302	1100032	level	136	user.gold:480000,user.hero_exp:670000,material.1:50
100303	1100033	level	136	user.gold:500000,user.hero_exp:690000,material.1:50
100304	1100034	level	136	user.gold:520000,user.hero_exp:710000,material.1:50
100305	1100035	level	136	user.gold:530000,user.hero_exp:740000,material.1:50
100400	1100040	level	136	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.20601.0:1
100401	1100041	level	136	user.gold:550000,user.hero_exp:760000,material.1:50
100402	1100042	level	136	user.gold:570000,user.hero_exp:780000,material.1:50
100403	1100043	level	136	user.gold:590000,user.hero_exp:810000,material.1:50
100404	1100044	level	136	user.gold:600000,user.hero_exp:830000,material.1:50
100405	1100045	level	136	user.gold:620000,user.hero_exp:850000,material.1:50
100500	1100050	level	137	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.40601.0:1
100501	1100051	level	137	user.gold:300000,user.hero_exp:410000,material.1:50
100502	1100052	level	137	user.gold:310000,user.hero_exp:430000,material.1:50
100503	1100053	level	137	user.gold:330000,user.hero_exp:450000,material.1:50
100504	1100054	level	137	user.gold:350000,user.hero_exp:480000,material.1:50
100505	1100055	level	137	user.gold:370000,user.hero_exp:500000,material.1:50
100600	1100060	level	137	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.60601.0:1
100601	1100061	level	137	user.gold:380000,user.hero_exp:530000,material.1:50
100602	1100062	level	137	user.gold:400000,user.hero_exp:550000,material.1:50
100603	1100063	level	137	user.gold:420000,user.hero_exp:570000,material.1:50
100604	1100064	level	137	user.gold:430000,user.hero_exp:600000,material.1:50
100605	1100065	level	137	user.gold:450000,user.hero_exp:620000,material.1:50
100700	1100070	level	137	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,group.20000005.0:1
100701	1100071	level	137	user.gold:470000,user.hero_exp:640000,material.1:50
100702	1100072	level	137	user.gold:490000,user.hero_exp:670000,material.1:50
100703	1100073	level	137	user.gold:500000,user.hero_exp:690000,material.1:50
100704	1100074	level	137	user.gold:520000,user.hero_exp:720000,material.1:50
100705	1100075	level	137	user.gold:540000,user.hero_exp:740000,material.1:50
100800	1100080	level	137	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,user.wand:10
100801	1100081	level	137	user.gold:550000,user.hero_exp:760000,material.1:50
100802	1100082	level	137	user.gold:570000,user.hero_exp:790000,material.1:50
100803	1100083	level	137	user.gold:590000,user.hero_exp:810000,material.1:50
100804	1100084	level	137	user.gold:610000,user.hero_exp:830000,material.1:50
100805	1100085	level	137	user.gold:620000,user.hero_exp:860000,material.1:50
100900	1100090	level	138	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.10601.0:1
100901	1100091	level	138	user.gold:300000,user.hero_exp:410000,material.1:50
100902	1100092	level	138	user.gold:310000,user.hero_exp:430000,material.1:50
100903	1100093	level	138	user.gold:330000,user.hero_exp:460000,material.1:50
100904	1100094	level	138	user.gold:350000,user.hero_exp:480000,material.1:50
100905	1100095	level	138	user.gold:370000,user.hero_exp:500000,material.1:50
101000	1100100	level	138	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.30601.0:1
101001	1100101	level	138	user.gold:380000,user.hero_exp:530000,material.1:50
101002	1100102	level	138	user.gold:400000,user.hero_exp:550000,material.1:50
101003	1100103	level	138	user.gold:420000,user.hero_exp:580000,material.1:50
101004	1100104	level	138	user.gold:440000,user.hero_exp:600000,material.1:50
101005	1100105	level	138	user.gold:450000,user.hero_exp:620000,material.1:50
101100	1100110	level	138	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.50601.0:1
101101	1100111	level	138	user.gold:470000,user.hero_exp:650000,material.1:50
101102	1100112	level	138	user.gold:490000,user.hero_exp:670000,material.1:50
101103	1100113	level	138	user.gold:500000,user.hero_exp:690000,material.1:50
101104	1100114	level	138	user.gold:520000,user.hero_exp:720000,material.1:50
101105	1100115	level	138	user.gold:540000,user.hero_exp:740000,material.1:50
101200	1100120	level	138	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.20601.0:1
101201	1100121	level	138	user.gold:560000,user.hero_exp:770000,material.1:50
101202	1100122	level	138	user.gold:570000,user.hero_exp:790000,material.1:50
101203	1100123	level	138	user.gold:590000,user.hero_exp:810000,material.1:50
101204	1100124	level	138	user.gold:610000,user.hero_exp:840000,material.1:50
101205	1100125	level	138	user.gold:620000,user.hero_exp:860000,material.1:50
101300	1100130	level	139	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.40601.0:1
101301	1100131	level	139	user.gold:300000,user.hero_exp:410000,material.1:50
101302	1100132	level	139	user.gold:320000,user.hero_exp:430000,material.1:50
101303	1100133	level	139	user.gold:330000,user.hero_exp:460000,material.1:50
101304	1100134	level	139	user.gold:350000,user.hero_exp:480000,material.1:50
101305	1100135	level	139	user.gold:370000,user.hero_exp:510000,material.1:50
101400	1100140	level	139	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,equip.60601.0:1
101401	1100141	level	139	user.gold:380000,user.hero_exp:530000,material.1:50
101402	1100142	level	139	user.gold:400000,user.hero_exp:550000,material.1:50
101403	1100143	level	139	user.gold:420000,user.hero_exp:580000,material.1:50
101404	1100144	level	139	user.gold:440000,user.hero_exp:600000,material.1:50
101405	1100145	level	139	user.gold:450000,user.hero_exp:630000,material.1:50
101500	1100150	level	139	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,group.20000005.0:1
101501	1100151	level	139	user.gold:470000,user.hero_exp:650000,material.1:50
101502	1100152	level	139	user.gold:490000,user.hero_exp:670000,material.1:50
101503	1100153	level	139	user.gold:510000,user.hero_exp:700000,material.1:50
101504	1100154	level	139	user.gold:520000,user.hero_exp:720000,material.1:50
101505	1100155	level	139	user.gold:540000,user.hero_exp:740000,material.1:50
101600	1100160	level	139	user.bindcash:30,user.gold:500000,user.hero_exp:1000000,user.wand:10
101601	1100161	level	139	user.gold:560000,user.hero_exp:770000,material.1:50
101602	1100162	level	139	user.gold:570000,user.hero_exp:790000,material.1:50
101603	1100163	level	139	user.gold:590000,user.hero_exp:820000,material.1:50
101604	1100164	level	139	user.gold:610000,user.hero_exp:840000,material.1:50
101605	1100165	level	139	user.gold:630000,user.hero_exp:860000,material.1:50
