功能	标题索引	内容图片索引	征战进度	功能1	开放等级	内容描述
module	titleRes	contentRes	cityId	goto	level	text
String	String	String	Int	String	Int	Chinese
hero	title_1.png	hero_nor_btn	0	hero	1	武将
bag	title_1.png	bag_nor_btn.png	0	bag	1	背包
treasure	title_1.png	treasure_nor_btn.png	0	treasure	1	宝物
task	title_1.png	task_nor_btn.png	15	task	1	任务
hook	title_12.png	patrol_nor_btn.png	10	hook	1	挂机
country	title_13.png	country_war_nor_btn.png	20	country	1	主公！当上一国之王足够你吹一辈子！
legion	title_15.png	legion_nor_btn.png	19	legion	1	主公！加入军团可获取更多资源。
jadeSeal	title_17.png	give_hero_nor_btn.png	5	jadeSeal	1	主公！帝王之路是你前进的指明灯。
elite	title_14.png	content_1.png	16	elite	1	主公！精英关卡可获得小兵装备。
pub	title_1.png	content_1.png	3	pub	1	主公！在酒馆您可遇到三国的所有知名武将。
blacksmith	title_9.png	content_9.png	9	blacksmith	1	淘汰的装备可在铁匠铺熔炼出高品质装备。
arena	title_5.png	content_5.png	28	arena	1	主公！擂台排名越高，每日奖励越好。
train	title_10.png	content_10.png	27	train	1	主公！训练馆可大幅度提升武将等级。
boat	title_2.png	content_2.png	29	boat	1	主公！副本有许多功能您每天要记得体验。
altar	title_3.png	content_3.png	17	altar	1	主公！每日在祭坛可免费领取大量资源。
shop	title_8.png	content_8.png	21	shop	1	主公！您可在商店中购买到许多低价商品。
goldmine	title_4.png	content_4.png	46	goldmine	1	主公！占领金矿可获得海量金币。
goldmine_enter	title_4.png	content_4.png	32	goldmine	1	主公！占领金矿可获得海量金币。
tower	title_6.png	content_6.png	45	tower	1	主公！挑战千层塔可获得大量宝石。
shipper	title_11.png	content_11.png	53	shipper	1	押镖
boat1	title_11.png	content_11.png	53	boat	1	押镖
patrol	title_16.png	content_16.png	43	patrol	1	巡逻
boat2	title_16.png	content_16.png	43	boat	1	巡逻
boat3	title_27.png	content_17.png	42	boat	1	无限关卡
infinite	title_27.png	content_17.png	42	boat	1	无限关卡
infinite_battle	title_27.png	content_17.png	42	boat	1	无限关卡
digging	title_1.png	content_1.png	32	dig	1	挖矿
worldwar	title_7.png	content_7.png	58	worldwar	1	主公！群雄争霸是名扬天下最好的敌方。
goldRescopy	title_2.png	content_2.png	29	goldRescopy	1	金币副本
rebornRescopy	title_2.png	content_2.png	29	rebornRescopy	1	突破副本
xpRescopy	title_2.png	content_2.png	29	xpRescopy	30	经验副本
destinyRescopy	title_2.png	content_2.png	29	destinyRescopy	50	天命副本
food	title_3.png	content_3.png	17	altar	1	主公！每日在祭坛可免费领取大量资源。
gold	title_3.png	content_3.png	17	altar	1	主公！每日在祭坛可免费领取大量资源。
destinyFete	title_3.png	content_3.png	0	altar	55	主公！每日在祭坛可免费领取大量资源。
heroList	0	0	0	heroList	1	我是武将列表
playerSkillUpgrade	0	0	0	playerSkillUpgrade	1	我是君主技能升级
lord	0	0	20	battle	1	太守
combat	0	0	23	battle	1	切磋
reborn	0	0	26	reborn	1	突破
destiny	0	0	50	destiny	1	天命
autofunsion	0	0	0	autofunsion	20	一键熔炼
mail	0	0	0	mail	1	邮件
stable	0	0	0	stable	1	马厩
statue	0	0	0	statue	15	雕像
gem	0	0	0	gem	45	宝石镶嵌
refine	0	0	0	refine	60	洗练
war_college	0	0	0	challenge	1	课程挑战
auto_progress_ten	0	0	0	0	25	扫荡十次
auto_refine	0	0	0	0	40	洗练五十次
tribute	0	0	6	0	0	百姓进贡
citycraft	0	0	40	0	0	皇城争霸
countryJade	0	0	34	0	0	合璧
godupgrade	0	0	36	0	0	神器升星
posrefine	0	0	54	posrefine	0	部位强化
legionTrial	0	0	54	legionTrial 	0	秘境探险
friend	0	0	0	friend	20	好友
pokedex	0	0	0	pokedex	20	图鉴
report	0	0	0	report	20	总战报
fateAdvanced	0	0	0	fateAdvanced	50	天下合谋
promote	0	0	0	promote	55	封将
battle	0	0	0	battle	1	征战关卡
thief	0	0	0	thief	1	山贼
suit	0	0	0	suit	1	强化按钮
dragongem	0	0	32	treasure	1	驯养
wish	0	0	0	wish	1	军团许愿
countrywar	0	0	0	countrywar	50	服战
heroLv	title_1.png	hero_nor_btn	0	hero	1	武将
