强度等级	战斗阵型ID	掉落ID	积分系数
level	battleId	lootId	radio
Int	Ints	Ints	Int
1	3001001|3002001|3003001|3004001|3005001|3006001|3007001|3008001	1201|1202|1203|1204|1205|1206|1207|1208	23
2	3001002|3002002|3003002|3004002|3005002|3006002|3007002|3008002	1201|1202|1203|1204|1205|1206|1207|1208	25
3	3001003|3002003|3003003|3004003|3005003|3006003|3007003|3008003	1201|1202|1203|1204|1205|1206|1207|1208	26
4	3001004|3002004|3003004|3004004|3005004|3006004|3007004|3008004	1201|1202|1203|1204|1205|1206|1207|1208	28
5	3001005|3002005|3003005|3004005|3005005|3006005|3007005|3008005	1201|1202|1203|1204|1205|1206|1207|1208	29
6	3001006|3002006|3003006|3004006|3005006|3006006|3007006|3008006	1201|1202|1203|1204|1205|1206|1207|1208	31
7	3001007|3002007|3003007|3004007|3005007|3006007|3007007|3008007	1201|1202|1203|1204|1205|1206|1207|1208	32
8	3001008|3002008|3003008|3004008|3005008|3006008|3007008|3008008	1201|1202|1203|1204|1205|1206|1207|1208	33
9	3001009|3002009|3003009|3004009|3005009|3006009|3007009|3008009	1201|1202|1203|1204|1205|1206|1207|1208	35
10	3001010|3002010|3003010|3004010|3005010|3006010|3007010|3008010	1201|1202|1203|1204|1205|1206|1207|1208	38
11	3001011|3002011|3003011|3004011|3005011|3006011|3007011|3008011	1201|1202|1203|1204|1205|1206|1207|1208	55
12	3001012|3002012|3003012|3004012|3005012|3006012|3007012|3008012	1201|1202|1203|1204|1205|1206|1207|1208	70
13	3001013|3002013|3003013|3004013|3005013|3006013|3007013|3008013	1201|1202|1203|1204|1205|1206|1207|1208	72
14	3001014|3002014|3003014|3004014|3005014|3006014|3007014|3008014	1201|1202|1203|1204|1205|1206|1207|1208	74
15	3001015|3002015|3003015|3004015|3005015|3006015|3007015|3008015	1201|1202|1203|1204|1205|1206|1207|1208	76
16	3001016|3002016|3003016|3004016|3005016|3006016|3007016|3008016	1201|1202|1203|1204|1205|1206|1207|1208	96
17	3001017|3002017|3003017|3004017|3005017|3006017|3007017|3008017	1201|1202|1203|1204|1205|1206|1207|1208	98
18	3001018|3002018|3003018|3004018|3005018|3006018|3007018|3008018	1201|1202|1203|1204|1205|1206|1207|1208	100
19	3001019|3002019|3003019|3004019|3005019|3006019|3007019|3008019	1201|1202|1203|1204|1205|1206|1207|1208	102
20	3001020|3002020|3003020|3004020|3005020|3006020|3007020|3008020	1201|1202|1203|1204|1205|1206|1207|1208	104
