符文等级	需求君主等级	升至本级消耗1	升至本级消耗2	升至本级消耗3	升至本级消耗4	升至本级消耗5	升至本级消耗6	升至本级消耗7
level	limit	cost1	cost2	cost3	cost4	cost5	cost6	cost7
Int	Int	Award	Award	Award	Award	Award	Award	Award
1	1	user.rune_exp:-60	user.rune_exp:-90	user.rune_exp:-130	user.rune_exp:-180	user.rune_exp:-250	user.rune_exp:-350	user.rune_exp:-500
2	1	user.rune_exp:-270	user.rune_exp:-390	user.rune_exp:-570	user.rune_exp:-800	user.rune_exp:-1100	user.rune_exp:-1600	user.rune_exp:-2300
3	1	user.rune_exp:-440	user.rune_exp:-620	user.rune_exp:-910	user.rune_exp:-1300	user.rune_exp:-1800	user.rune_exp:-2500	user.rune_exp:-3600
4	1	user.rune_exp:-560	user.rune_exp:-800	user.rune_exp:-1200	user.rune_exp:-1600	user.rune_exp:-2400	user.rune_exp:-3300	user.rune_exp:-4700
5	1	user.rune_exp:-1600	user.rune_exp:-2300	user.rune_exp:-3300	user.rune_exp:-4700	user.rune_exp:-6700	user.rune_exp:-9300	user.rune_exp:-13300
6	1	user.rune_exp:-2400	user.rune_exp:-3400	user.rune_exp:-5000	user.rune_exp:-7000	user.rune_exp:-9900	user.rune_exp:-13900	user.rune_exp:-19900
7	1	user.rune_exp:-3400	user.rune_exp:-4800	user.rune_exp:-7100	user.rune_exp:-10000	user.rune_exp:-14200	user.rune_exp:-19900	user.rune_exp:-28500
8	1	user.rune_exp:-4500	user.rune_exp:-6300	user.rune_exp:-9300	user.rune_exp:-13000	user.rune_exp:-18600	user.rune_exp:-26100	user.rune_exp:-37200
9	1	user.rune_exp:-5400	user.rune_exp:-7600	user.rune_exp:-11200	user.rune_exp:-15600	user.rune_exp:-22400	user.rune_exp:-31300	user.rune_exp:-44700
10	1	user.rune_exp:-6200	user.rune_exp:-8700	user.rune_exp:-12800	user.rune_exp:-18000	user.rune_exp:-25700	user.rune_exp:-36000	user.rune_exp:-51400
11	1	user.rune_exp:-7200	user.rune_exp:-10200	user.rune_exp:-14900	user.rune_exp:-20900	user.rune_exp:-29900	user.rune_exp:-41800	user.rune_exp:-59700
12	1	user.rune_exp:-8100	user.rune_exp:-11500	user.rune_exp:-16900	user.rune_exp:-23700	user.rune_exp:-33800	user.rune_exp:-47400	user.rune_exp:-67700
13	1	user.rune_exp:-4500	user.rune_exp:-6400	user.rune_exp:-9400	user.rune_exp:-13200	user.rune_exp:-18800	user.rune_exp:-26300	user.rune_exp:-37600
14	1	user.rune_exp:-4800	user.rune_exp:-6800	user.rune_exp:-10000	user.rune_exp:-14000	user.rune_exp:-20000	user.rune_exp:-28000	user.rune_exp:-40000
15	1	user.rune_exp:-5100	user.rune_exp:-7200	user.rune_exp:-10500	user.rune_exp:-14800	user.rune_exp:-21100	user.rune_exp:-29500	user.rune_exp:-42200
16	1	user.rune_exp:-5400	user.rune_exp:-7600	user.rune_exp:-11200	user.rune_exp:-15700	user.rune_exp:-22400	user.rune_exp:-31400	user.rune_exp:-44900
17	1	user.rune_exp:-5800	user.rune_exp:-8200	user.rune_exp:-12000	user.rune_exp:-16800	user.rune_exp:-24000	user.rune_exp:-33600	user.rune_exp:-48000
18	1	user.rune_exp:-6100	user.rune_exp:-8600	user.rune_exp:-12700	user.rune_exp:-17800	user.rune_exp:-25400	user.rune_exp:-35500	user.rune_exp:-50800
19	1	user.rune_exp:-6400	user.rune_exp:-9100	user.rune_exp:-13300	user.rune_exp:-18700	user.rune_exp:-26700	user.rune_exp:-37400	user.rune_exp:-53400
20	1	user.rune_exp:-6800	user.rune_exp:-9600	user.rune_exp:-14100	user.rune_exp:-19800	user.rune_exp:-28300	user.rune_exp:-39600	user.rune_exp:-56500
21	1	user.rune_exp:-7200	user.rune_exp:-10200	user.rune_exp:-15000	user.rune_exp:-21100	user.rune_exp:-30100	user.rune_exp:-42100	user.rune_exp:-60200
22	1	user.rune_exp:-7600	user.rune_exp:-10700	user.rune_exp:-15800	user.rune_exp:-22100	user.rune_exp:-31600	user.rune_exp:-44200	user.rune_exp:-63100
23	1	user.rune_exp:-7800	user.rune_exp:-11100	user.rune_exp:-16300	user.rune_exp:-22900	user.rune_exp:-32700	user.rune_exp:-45800	user.rune_exp:-65400
24	1	user.rune_exp:-8200	user.rune_exp:-11600	user.rune_exp:-17100	user.rune_exp:-23900	user.rune_exp:-34100	user.rune_exp:-47800	user.rune_exp:-68300
25	1	user.rune_exp:-8600	user.rune_exp:-12200	user.rune_exp:-17900	user.rune_exp:-25100	user.rune_exp:-35800	user.rune_exp:-50100	user.rune_exp:-71600
26	1	user.rune_exp:-8900	user.rune_exp:-12600	user.rune_exp:-18600	user.rune_exp:-26000	user.rune_exp:-37200	user.rune_exp:-52100	user.rune_exp:-74400
